pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,Tmag,e_Tmag
HATS-49 b,HATS-49,4919770108539385472,4919770108539385472,281541545,6.6135927,-56.3442798,,,,,,,,,,,,,,,16.364999771118200,0.017000000923872000,15.031999588012700,0.0430000014603138,15.677000045776400,0.04600000008940700,14.52400016784670,0.041999999433755900,14.053000450134300,0.10300000011920900,,,,,,,,,,,12.692,0.024,12.105,0.024,11.938,0.023,11.903,0.023,11.99,0.022,12.093,0.307,9.293,,16.365,0.017,14.988,0.16,14.5449,0.000306,13.7813,0.006
HATS-46 b,HATS-46,4919771654727611008,4919771654727611008,281541555,6.7026401,-56.3161021,,,19.8666,0.0745,,,,,,,,,,,14.430999755859400,0.027000000700354600,13.692999839782700,0.057999998331069900,14.01200008392330,0.019999999552965200,13.508999824523900,0.03200000151991840,13.33899974823000,0.15000000596046400,,,,,,,,,,,12.366,0.024,11.993,0.022,11.965,0.024,11.88,0.024,11.953,0.021,11.821,0.232,8.675,,14.431,0.027,13.783,0.126,13.527,0.000263,13.0417,0.006
Qatar-5 b,Qatar-5,382111248777193216,382111248777193216,190998418,7.0539375,42.0613451,,,,,,,,,,,,,,,13.432000160217300,0.06499999761581420,12.628000259399400,0.06199999898672100,12.991000175476100,0.03099999949336050,12.435999870300300,0.0430000014603138,12.23900032043460,0.028999999165535000,13.112,,12.673,,12.463,,12.336,,12.2498,0.0043,11.348,0.023,11.089,0.021,10.956,0.02,10.945,0.023,10.98,0.021,10.887,0.081,8.873,,13.432,0.065,12.614,0.08,12.5241,0.000435,12.0401,0.0079
TOI-178 f,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
TOI-178 c,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
TOI-178 b,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
TOI-178 g,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
TOI-178 e,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
TOI-178 d,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,10.42,0.0061
HD 2685 b,HD 2685,4684205720883329920,4684205720883329920,267263253,7.3289156,-76.304032,,,,,,,,,,,,,,,10.081999778747600,0.08699999749660490,9.656999588012700,0.0,10.331000328064000,0.5320000052452090,9.821999549865720,0.3009999990463260,9.484000205993650,0.0,,,,,,,,,,,8.825,0.026,8.651,0.051,8.595,0.019,8.552,0.023,8.575,0.021,8.536,0.023,8.261,0.192,10.047,0.047,9.595,0.003,9.52025,0.000318,9.2205,0.006
WASP-190 b,WASP-190,4994237247949280000,4994237247949280000,116156517,7.7095292,-40.5734613,21.9494,0.4014,15.7411,0.0125,,,,,,,,,,,12.154999732971200,0.00800000037997961,11.675000190734900,0.10000000149011600,11.892000198364300,0.014000000432133700,11.670999526977500,0.07800000160932540,11.51200008392330,0.10300000011920900,,,,,,,,,,,10.859,0.023,10.694,0.023,10.65,0.024,10.593,0.023,10.62,0.019,10.615,0.084,8.269,,12.028,0.198,11.645,0.014,11.6333,0.000489,11.3151,0.006
TOI-6029 b,TOI-6029,430269136520563200,430269136520563200,419523962,8.3862555,61.8607659,,,,,,,,,,,,,,,13.41100025177000,0.024000000208616300,12.527999877929700,0.012000000104308100,12.932999610900900,0.028999999165535000,12.232999801635700,0.017999999225139600,11.902999877929700,0.028999999165535000,12.84,,12.302,,12.027,,11.854,,11.781,,10.788,0.026,10.479,0.032,10.369,0.023,10.294,0.023,10.312,0.02,10.478,0.059,9.739,,13.236,0.525,12.858,0.038,12.2681,0.000161,11.6593,0.006
HD 3167 b,HD 3167,2554032474712538880,2554032474712538880,318707987,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,10.166000366210900,0.0,,,10.204000473022500,0.10599999874830200,,,,,9.2958,0.0152,8.497,0.0658,8.7515,0.0,8.7341,0.0343,8.7812,0.0223,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144,9.767,0.031,8.97,0.03,8.76221,0.000265,8.2491,0.006
HD 3167 c,HD 3167,2554032474712538880,2554032474712538880,318707987,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,10.166000366210900,0.0,,,10.204000473022500,0.10599999874830200,,,,,9.2958,0.0152,8.497,0.0658,8.7515,0.0,8.7341,0.0343,8.7812,0.0223,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144,9.767,0.031,8.97,0.03,8.76221,0.000265,8.2491,0.006
TOI-2406 b,TOI-2406,2528453161326406016,2528453161326406016,212957629,8.8060544,-3.3720833,,,,,,,,,,,,,,,,,,,,,,,,,17.7298,0.0015,16.5707,0.007,14.9347,0.0015,14.1994,0.0036,13.8497,0.0026,12.633,0.024,12.129,0.024,11.894,0.025,,,,,,,,,,,,,15.6955,0.000641,14.3109,0.007448
WASP-93 b,WASP-93,415703635408772480,415703635408772480,240681314,9.4587443,51.288778,,,,,,,,,,,,,,,11.541000366210900,0.024000000208616300,11.08899974823000,0.03700000047683720,11.267000198364300,0.03200000151991840,10.996000289917000,0.04100000113248830,10.930000305175800,0.04600000008940700,11.6647,0.0961,11.6695,0.0794,10.3669,0.0193,,,11.488,0.001,10.233,0.022,9.997,0.021,9.942,0.016,9.887,0.023,9.9,0.02,9.854,0.039,9.072,0.377,11.573,0.106,10.966,0.007,10.978,0.000447,10.6496,0.006
