pl_name,hostname,gaia_dr3_id,ra,dec,fuvmag,e_fuvmag,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,vmag,e_vmag,bmag,e_bmag,gprimemag,e_gprimemag,rprimemag,e_rprimemag,iprimemag,e_iprimemag,gaiaGmag,e_gaiaGmag,gaiaBPmag,e_gaiaBPmag,gaiaRPmag,e_gaiaRPmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag
Qatar-5 b,Qatar-5,382111248777193216,7.0539375,42.0613451,,,,,,,,,,,,,,,,,,,,,,,,,12.51198737275,0.0184218703937152,12.8873481439,0.0315646497162392,11.97502587868,0.0276841645893096,,,,,,,,,,,11.348,0.023,11.089,0.021,10.956,0.02,10.945,0.023,10.98,0.021,10.887,0.081,8.873,
TOI-178 f,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
TOI-178 c,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
TOI-178 b,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
TOI-178 g,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
TOI-178 e,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
TOI-178 d,TOI-178,2318295979126499200,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,11.1575492672,0.0169502005183065,11.83983376465,0.0286164851910054,10.3601550951,0.0229974064278574,,,,,,,,,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259
HD 2685 b,HD 2685,4684205720883329920,7.3289156,-76.304032,,,,,,,,,,,,,,,9.657,0.0,10.082,0.087,10.331,0.532,9.822,0.301,9.484,0.0,9.5265587881,0.0134641521035223,9.732459074,0.0259818313575596,9.1711134462,0.0206314965091846,,,,,,,,,,,8.825,0.026,8.651,0.051,8.595,0.019,8.552,0.023,8.575,0.021,8.536,0.023,8.261,0.192
WASP-190 b,WASP-190,4994237247949280000,7.7095292,-40.5734613,21.9494,0.4014,15.7411,0.0125,,,,,,,,,,,11.675,0.1,12.155,0.008,11.892,0.014,11.671,0.078,11.512,0.103,11.629206845,0.0160575238756002,11.85375612911,0.0240867321771934,11.25518387608,0.0205703334689548,,,,,,,,,,,10.859,0.023,10.694,0.023,10.65,0.024,10.593,0.023,10.62,0.019,10.615,0.084,8.269,
TOI-6029 b,TOI-6029,430269136520563200,8.3862555,61.8607659,,,,,,,,,,,,,,,12.528,0.012,13.411,0.024,12.933,0.029,12.233,0.018,11.903,0.029,12.25982493241,0.0118059786375228,12.75714485937,0.0206443548217765,11.59629247715,0.0164316583079646,,,,,,,,,,,10.788,0.026,10.479,0.032,10.369,0.023,10.294,0.023,10.312,0.02,10.478,0.059,9.739,
